Year,Violent Crime rate,Property crime rate,US Population,Legal Immigration population ,illegal Immigration Population,Mexican immigration population
2006,479.3,3346.6,299398484,37469387,11550000,6800000
2007,471.8,3276.4,301621157,38048456,"11,780,000",6900000
2008,458.6,3214.6,304059724,38016102,"11,600,000",6600000
2009,431.9,3041.3,307006550,38452822,10750000,6350000
2010,404.5,2945.9,309330219,39916875,11600000,6290000
2011,387.1,2905.4,311587816,40381574,11500000,6300000
2012,387.8,2868,313873685,40738224,11400000,6100000
2013,379.1,2733.3,316497531,41340832,11300000,5500000
2014,375.7,2596.1,318857056,42400000,11200000,5300000
,,,,,,
,,,,,,
,,,, ,,
